P_BASIS,CHANNEL_ERROR,AD_BLOCK_SIZE,AD_SCORE_THRESH,EC_EFFICIENCY,USE_AD_WEIGHTED,EVE,FINAL,SIFT,QBER,LEAK
0.88|0.06|0.06,0.003,4,2.8,1.05,True,0.240753,290,6284,0.106779,770.5
0.88|0.06|0.06,0.003,4,3.0,1.05,True,0.242280,220,6233,0.101717,834.0
0.88|0.06|0.06,0.003,4,3.2,1.05,True,0.236336,271,6310,0.096513,811.6
0.88|0.06|0.06,0.004,4,2.8,1.05,True,0.239784,231,6194,0.112851,812.4
0.88|0.06|0.06,0.004,4,3.0,1.05,True,0.243457,300,6258,0.103068,753.9
0.88|0.06|0.06,0.004,4,3.2,1.05,True,0.238404,242,6202,0.102225,815.3
0.88|0.06|0.06,0.005,4,2.8,1.05,True,0.235541,241,6325,0.103557,842.0
0.88|0.06|0.06,0.005,4,3.0,1.05,True,0.242334,250,6247,0.104850,807.9
0.88|0.06|0.06,0.005,4,3.2,1.05,True,0.237925,239,6235,0.108901,810.1
0.85|0.075|0.075,0.003,4,2.8,1.05,True,0.240894,192,5848,0.103967,795.0
0.85|0.075|0.075,0.003,4,3.0,1.05,True,0.242943,301,5799,0.102431,678.5
0.85|0.075|0.075,0.003,4,3.2,1.05,True,0.245255,252,5854,0.101640,731.9
0.85|0.075|0.075,0.004,4,2.8,1.05,True,0.238384,293,5909,0.099678,708.0
0.85|0.075|0.075,0.004,4,3.0,1.05,True,0.237215,215,5843,0.098579,777.0
0.85|0.075|0.075,0.004,4,3.2,1.05,True,0.245337,171,5859,0.108722,805.3
0.85|0.075|0.075,0.005,4,2.8,1.05,True,0.233473,256,5895,0.096862,752.8
0.85|0.075|0.075,0.005,4,3.0,1.05,True,0.234605,242,5879,0.106481,752.7
0.85|0.075|0.075,0.005,4,3.2,1.05,True,0.241467,206,5846,0.098016,788.2
0.8|0.1|0.1,0.003,4,2.8,1.05,True,0.244998,232,5272,0.098634,655.4
0.8|0.1|0.1,0.003,4,3.0,1.05,True,0.235951,206,5331,0.096792,705.1
0.8|0.1|0.1,0.003,4,3.2,1.05,True,0.242568,203,5218,0.103488,670.0
0.8|0.1|0.1,0.004,4,2.8,1.05,True,0.243921,193,5269,0.101348,679.6
0.8|0.1|0.1,0.004,4,3.0,1.05,True,0.234932,174,5317,0.098176,737.3
0.8|0.1|0.1,0.004,4,3.2,1.05,True,0.241670,163,5326,0.107585,728.3
0.8|0.1|0.1,0.005,4,2.8,1.05,True,0.252442,230,5271,0.101878,640.9
0.8|0.1|0.1,0.005,4,3.0,1.05,True,0.244687,150,5293,0.106556,732.9
0.8|0.1|0.1,0.005,4,3.2,1.05,True,0.245135,164,5308,0.106820,726.3
